4 2 1 0 0 11 10.600000 2212 0 0.310378
1 -1 1    11     0     0     -0.67722442      0.22116941      1.98872534      2.11248138 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0     -0.00703196      0.05086707     -0.02105627      0.94120319 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0      0.63466970     -0.37883578      0.50100762      1.29525492 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0      0.04958668      0.10679929      8.13132329      8.13217581 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 0.277096
1 -1 1    11     0     0      0.19922738      0.21965593     -0.04154618      0.29944386 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0     -0.05452903     -0.02017317     -0.00625957      0.94138341 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0     -0.19716380     -0.12607856      0.49299004      1.08543219 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0      0.05246545     -0.07340420     10.15481570     10.15521653 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 0.292501
1 -1 1    11     0     0     -0.38747155     -0.54159422      2.54367305      2.62939752 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0      0.03575720     -0.00318530     -0.02478517      0.94057759 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0      0.24768992      0.68981175      0.44401580      1.27070652 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0      0.10402443     -0.14503223      7.63709631      7.63918160 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 1.131055
1 -1 1    11     0     0     -0.44131727      0.54834322      3.55130692      3.62038980 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0     -0.00043098      0.04653875     -0.07739926      0.94389610 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0      0.15166963     -0.19262510      0.21495695      0.99331218 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0      0.29007862     -0.40225687      6.91113538      6.92890673 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 6.264001
1 -1 1    11     0     0      0.93068315      0.64516900      6.57523281      6.67203873 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0      0.06834629     -0.05567699     -0.15684448      0.95663708 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0     -1.00531396     -0.58767582      1.24266419      1.94437337 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0      0.00628451     -0.00181618      2.93894747      2.93895475 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 0.157036
1 -1 1    11     0     0     -0.50462838      0.24084779      2.26834522      2.33624651 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0     -0.02741173     -0.06551319     -0.17834178      0.95897463 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0      0.45802556      0.33574968      0.51822856      1.21302539 0.938272 0.000000 0.000000 -3.000000
